StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;DistributionChannel;UserLanguage;Q2_1;Q3_1;Q4_1;Q5_1;Q9_1;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q11_7;Q11_8;Q11_9;Q11_10;Q12_4;Q13_1;Q15_1;Q16;Q17;GraphicShown;randomRow;selectedChoice;lotteryValue
Start Date;End Date;Response Type;Progress;Duration (in seconds);Finished;Recorded Date;Distribution Channel;User Language;"What do you think is your average daily usage time of Instagram?



Use the sliders below to provide your best guess. - Hours";Q3 - Minutes;What do you think is the average daily Instagram usage of other people your age in Denmark? - Hours;Q5 - Minutes;"Example:

	Show your Instagram usage and get the chance to win 200 DKK.
	Keep it private and get the chance to win 180 DKK.



Would you want to show it or keep it private? : 

(Click on one of the grey boxes to select) - 1.";Please make your choices below: - 1.;Please make your choices below: - 2.;Please make your choices below: - 3.;Please make your choices below: - 4.;Please make your choices below: - 5.;Please make your choices below: - 6.;Please make your choices below: - 7.;Please make your choices below: - 8.;Please make your choices below: - 9.;Please make your choices below: - 10.;"The randomly selected lottery was lottery nr. [Field-randomRow], where you picked to show and enter the lottery for [Field-lotteryValue].



Please go to: Instagram → Your profile → The three lines at the top → Your activity → Time spent. 



🇩🇰 In danish: Instagram → Din profil → Tre linjer øverst → Din aktivitet → Tidsforbrug



Please show us your true actual usage and input it below. - Hours";Q13 - Minutes;"How old are you?



(Choose 30 if you are 30 or older) - Age";What level of education are you currently enrolled in?;What is your gender?;GraphicShown;randomRow;selectedChoice;lotteryValue
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""status""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""QID13_1""}";"{""ImportId"":""QID69_1""}";"{""ImportId"":""QID72_1""}";"{""ImportId"":""QID73_1""}";"{""ImportId"":""QID75_1""}";"{""ImportId"":""QID26_1""}";"{""ImportId"":""QID26_2""}";"{""ImportId"":""QID26_3""}";"{""ImportId"":""QID26_4""}";"{""ImportId"":""QID26_5""}";"{""ImportId"":""QID26_6""}";"{""ImportId"":""QID26_7""}";"{""ImportId"":""QID26_8""}";"{""ImportId"":""QID26_9""}";"{""ImportId"":""QID26_10""}";"{""ImportId"":""QID50_4""}";"{""ImportId"":""QID74_1""}";"{""ImportId"":""QID1_1""}";"{""ImportId"":""QID5""}";"{""ImportId"":""QID6""}";"{""ImportId"":""GraphicShown""}";"{""ImportId"":""randomRow""}";"{""ImportId"":""selectedChoice""}";"{""ImportId"":""lotteryValue""}"
2024-11-06 04:34:25;2024-11-06 04:36:56;0;100;151;1;2024-11-06 04:36:56;qr;EN;2;20;2;2;1;1;1;1;1;1;1;1;1;1;1;;;21;1;1;;1;1;210 DKK
2024-11-06 04:25:19;2024-11-06 04:37:36;0;100;737;1;2024-11-06 04:37:37;qr;EN;2;10;3;0;2;1;1;1;1;2;2;2;2;2;2;1;49;22;1;1;;6;2;200 DKK
2024-11-06 04:35:18;2024-11-06 04:38:57;0;100;218;1;2024-11-06 04:38:58;qr;EN;0;41;2;5;2;2;2;2;2;2;2;2;2;2;2;0;35;22;1;1;;6;2;200 DKK
2024-11-06 04:39:22;2024-11-06 04:42:22;0;100;179;1;2024-11-06 04:42:22;qr;EN;3;0;3;10;1;1;1;1;1;1;1;1;1;1;1;;;26;2;1;;6;1;160 DKK
2024-11-06 04:39:33;2024-11-06 04:42:34;0;100;181;1;2024-11-06 04:42:34;qr;EN;6;31;4;6;2;2;2;2;2;2;2;2;2;2;2;;25;25;2;2;;9;2;200 DKK
2024-11-06 04:39:27;2024-11-06 04:42:48;0;100;201;1;2024-11-06 04:42:48;qr;EN;0;45;1;4;2;2;1;2;1;2;1;2;1;2;1;;32;25;2;1;;1;2;200 DKK
2024-11-06 04:40:39;2024-11-06 04:43:18;0;100;158;1;2024-11-06 04:43:18;qr;EN;1;5;1;4;1;1;1;1;1;1;1;1;2;2;2;;;21;1;1;;4;1;180 DKK
2024-11-06 04:40:41;2024-11-06 04:43:22;0;100;161;1;2024-11-06 04:43:23;qr;EN;1;1;3;2;1;1;2;2;1;2;1;2;1;2;1;;;21;1;1;;10;1;120 DKK
2024-11-06 04:37:56;2024-11-06 04:43:59;0;100;362;1;2024-11-06 04:43:59;qr;EN;1;20;2;1;2;2;2;2;2;2;2;2;2;2;2;;54;22;1;1;;5;2;200 DKK
2024-11-06 04:35:38;2024-11-06 04:45:05;0;100;567;1;2024-11-06 04:45:06;qr;EN;1;30;4;20;1;2;2;2;2;2;2;2;2;2;2;1;5;21;2;1;;7;2;200 DKK
2024-11-06 04:45:30;2024-11-06 04:47:48;0;100;137;1;2024-11-06 04:47:48;qr;EN;7;0;3;20;2;1;1;1;1;1;1;1;1;1;1;;;21;1;2;;1;1;210 DKK
2024-11-06 04:45:07;2024-11-06 04:48:08;0;100;180;1;2024-11-06 04:48:08;qr;EN;3;30;6;0;2;1;2;1;2;2;2;2;2;2;2;1;11;22;1;1;;4;2;200 DKK
2024-11-06 04:45:40;2024-11-06 04:48:25;0;100;165;1;2024-11-06 04:48:25;qr;EN;1;30;2;0;1;1;1;1;1;1;1;1;1;1;1;;;20;1;2;;6;1;160 DKK
2024-11-06 04:45:33;2024-11-06 04:49:11;0;100;218;1;2024-11-06 04:49:12;qr;EN;2;30;1;2;2;2;2;2;2;2;2;2;2;2;2;5;30;20;1;2;;8;2;200 DKK
2024-11-06 04:49:50;2024-11-06 04:52:20;0;100;150;1;2024-11-06 04:52:21;qr;EN;4;30;3;30;1;1;1;1;1;1;1;1;1;1;1;;;22;1;1;;7;1;150 DKK
2024-11-06 04:49:22;2024-11-06 04:52:27;0;100;184;1;2024-11-06 04:52:27;qr;EN;2;30;2;0;2;1;1;1;1;1;1;1;1;1;1;;;26;1;1;;8;1;140 DKK
2024-11-06 04:44:44;2024-11-06 04:52:31;0;100;466;1;2024-11-06 04:52:31;qr;EN;0;45;3;0;1;1;1;1;1;1;1;1;1;1;1;;;22;1;1;;7;1;150 DKK
2024-11-06 04:49:38;2024-11-06 04:52:50;0;100;192;1;2024-11-06 04:52:50;qr;EN;3;10;6;11;1;1;1;1;1;1;1;1;1;1;1;;;21;1;1;;3;1;190 DKK
2024-11-06 04:45:13;2024-11-06 04:53:16;0;100;482;1;2024-11-06 04:53:16;qr;EN;1;29;2;30;2;1;2;2;2;2;2;2;2;2;2;0;33;21;1;1;;6;2;200 DKK
2024-11-06 04:54:32;2024-11-06 04:56:48;0;100;136;1;2024-11-06 04:56:48;qr;EN;2;30;4;1;1;1;1;1;1;1;1;1;1;1;1;;;23;1;1;;8;1;140 DKK
2024-11-06 04:54:37;2024-11-06 04:58:07;0;100;210;1;2024-11-06 04:58:08;qr;EN;4;0;3;4;2;2;2;2;2;2;2;2;2;2;2;0;58;25;1;2;;8;2;200 DKK
2024-11-06 04:54:32;2024-11-06 04:58:22;0;100;229;1;2024-11-06 04:58:22;qr;EN;5;29;4;10;2;2;2;2;2;2;2;2;2;2;2;;32;24;1;2;;4;2;200 DKK
2024-11-06 04:54:33;2024-11-06 04:58:22;0;100;229;1;2024-11-06 04:58:23;qr;EN;3;47;4;50;1;1;1;1;1;1;1;1;1;1;1;;;22;1;1;;7;1;150 DKK
2024-11-06 04:53:23;2024-11-06 05:04:03;0;100;639;1;2024-11-06 05:04:03;qr;EN;1;30;3;2;1;2;2;2;2;2;2;2;2;2;2;;42;21;1;1;;3;2;200 DKK
2024-11-06 05:01:16;2024-11-06 05:04:30;0;100;193;1;2024-11-06 05:04:31;qr;EN;2;30;3;5;2;1;2;2;2;2;2;2;2;2;2;;23;21;1;1;;3;2;200 DKK
2024-11-06 05:01:17;2024-11-06 05:05:19;0;100;242;1;2024-11-06 05:05:19;qr;EN;1;45;3;30;1;1;1;1;1;1;1;1;1;1;1;;;21;1;3;;10;1;120 DKK
2024-11-06 05:04:08;2024-11-06 05:08:29;0;100;260;1;2024-11-06 05:08:29;qr;EN;0;24;2;2;2;2;2;2;2;2;2;2;2;2;2;;47;25;2;1;;1;2;200 DKK
2024-11-06 05:05:56;2024-11-06 05:09:46;0;100;230;1;2024-11-06 05:09:46;qr;EN;1;20;2;1;2;2;2;2;2;2;2;2;2;2;2;;45;25;2;1;;10;2;200 DKK
2024-11-06 05:01:41;2024-11-06 05:09:49;0;100;487;1;2024-11-06 05:09:49;qr;EN;1;1;3;1;2;1;1;1;1;1;1;1;1;1;1;;;25;2;2;;8;1;140 DKK
2024-11-06 05:12:57;2024-11-06 05:14:51;0;100;114;1;2024-11-06 05:14:52;qr;EN;2;31;4;5;1;1;1;1;1;1;2;2;2;2;2;;;25;2;2;;3;1;190 DKK
2024-11-06 05:12:11;2024-11-06 05:15:26;0;100;195;1;2024-11-06 05:15:26;qr;EN;1;20;3;20;2;2;2;2;2;2;2;2;2;2;2;1;23;23;1;2;;2;2;200 DKK
2024-11-06 05:12:12;2024-11-06 05:16:10;0;100;238;1;2024-11-06 05:16:11;qr;EN;0;38;1;6;2;1;2;2;2;1;2;1;2;1;2;;23;22;1;2;;8;2;200 DKK
2024-11-06 05:12:58;2024-11-06 05:16:34;0;100;216;1;2024-11-06 05:16:35;qr;EN;5;30;4;47;2;2;2;2;2;2;2;2;2;2;2;1;15;23;2;2;;4;2;200 DKK
2024-11-06 05:12:57;2024-11-06 05:16:41;0;100;224;1;2024-11-06 05:16:42;qr;EN;2;30;3;5;2;1;1;1;1;1;1;1;2;2;2;;;27;2;2;;5;1;170 DKK
2024-11-06 05:12:53;2024-11-06 05:16:53;0;100;239;1;2024-11-06 05:16:53;qr;EN;2;0;3;0;2;2;2;2;2;2;2;2;2;2;2;;35;23;2;2;;10;2;200 DKK
2024-11-06 05:17:40;2024-11-06 05:19:27;0;100;107;1;2024-11-06 05:19:28;qr;EN;3;30;3;20;1;1;1;1;1;1;1;1;1;1;1;;;21;1;2;;10;1;120 DKK
2024-11-06 05:17:48;2024-11-06 05:19:36;0;100;108;1;2024-11-06 05:19:36;qr;EN;10;30;5;0;1;1;1;1;1;2;2;2;2;2;2;;;21;1;2;;1;1;210 DKK
2024-11-06 05:17:48;2024-11-06 05:20:15;0;100;146;1;2024-11-06 05:20:15;qr;EN;3;18;5;13;1;1;1;1;1;1;1;1;1;1;1;;;22;1;2;;8;1;140 DKK
2024-11-06 05:17:46;2024-11-06 05:20:16;0;100;150;1;2024-11-06 05:20:17;qr;EN;4;30;6;0;2;2;2;2;2;2;2;2;2;2;2;1;4;26;1;2;;10;2;200 DKK
2024-11-06 05:11:41;2024-11-06 05:21:04;0;100;562;1;2024-11-06 05:21:04;qr;EN;1;0;2;1;1;1;1;1;1;1;1;2;2;2;2;;;22;1;1;;6;1;160 DKK
2024-11-06 05:17:40;2024-11-06 05:21:04;0;100;203;1;2024-11-06 05:21:04;qr;EN;1;30;2;1;1;1;1;1;1;1;1;1;1;1;1;;;23;1;1;;10;1;120 DKK
2024-11-06 05:26:24;2024-11-06 05:29:05;0;100;161;1;2024-11-06 05:29:06;qr;EN;4;30;5;30;1;1;1;1;1;1;1;1;1;1;1;;;24;2;1;;9;1;130 DKK
2024-11-06 05:26:35;2024-11-06 05:30:04;0;100;208;1;2024-11-06 05:30:04;qr;EN;1;30;3;30;1;1;1;1;1;1;1;1;1;1;1;;;23;2;2;;10;1;120 DKK
2024-11-06 05:30:01;2024-11-06 05:31:27;0;100;86;1;2024-11-06 05:31:27;qr;EN;2;30;5;30;1;1;1;1;1;1;1;1;1;1;1;;;22;2;2;;7;1;150 DKK
2024-11-06 11:07:41;2024-11-06 11:09:55;0;100;134;1;2024-11-06 11:09:56;qr;EN;;30;1;1;2;1;1;1;1;2;2;2;2;2;2;;51;29;3;2;;8;2;200 DKK
2024-11-06 11:09:58;2024-11-06 11:11:12;0;100;74;1;2024-11-06 11:11:13;qr;EN;;20;;46;2;1;1;2;2;2;2;2;2;2;2;;12;30;3;2;;5;2;200 DKK
2024-11-06 11:11:14;2024-11-06 11:13:17;0;100;122;1;2024-11-06 11:13:17;qr;EN;;40;;30;2;1;1;2;2;2;2;2;2;2;2;1;2;30;3;1;;10;2;200 DKK
2024-11-06 14:17:24;2024-11-06 14:24:11;0;100;407;1;2024-11-06 14:24:12;anonymous;EN;3;0;4;0;2;2;2;2;2;2;2;2;2;2;2;;33;20;1;2;;7;2;200 DKK
2024-11-07 01:40:31;2024-11-07 01:41:06;0;100;35;1;2024-11-07 01:41:07;qr;EN;7;17;4;15;1;1;1;1;1;1;1;1;1;1;1;;;22;3;2;;5;1;160 DKK
